Estimators:,1NN-DTW,Arsenal,CIF-500,Catch22,DrCIF-500,Dummy,FreshPRINCE,HC2,MRHydra,QUANT,RDST,RIST,ROCKET,STC,TDE,h-inceptiontime,litetime-mv
KINECAL-QSEO,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.8823529411764706
LSST,0.551094890510949,0.6577453365774534,0.6366585563665855,0.6695052716950527,0.6354420113544201,0.3150851581508516,0.702757502027575,0.6739659367396593,0.6427412814274128,0.6451743714517437,0.6492295214922952,0.6273317112733171,0.6362530413625304,0.6131386861313869,0.5575831305758313,0.20681265206812652,0.35928629359286296
Libras,0.8722222222222222,0.9,0.9055555555555556,0.8166666666666667,0.9111111111111111,0.06666666666666667,0.8888888888888888,0.9277777777777778,0.9333333333333333,0.8777777777777778,0.9444444444444444,0.9777777777777777,0.9055555555555556,0.9055555555555556,0.8722222222222222,0.8888888888888888,0.9166666666666666
LiveFuelMoistureContent_disc,0.7284768211920529,0.8298013245033112,0.8377483443708609,0.8072847682119205,0.8370860927152318,0.8410596026490066,0.8344370860927153,0.8291390728476821,0.7609271523178808,0.8198675496688742,0.8145695364238411,0.8245033112582781,0.7880794701986755,0.7973509933774835,0.8278145695364238,0.7821192052980133,0.743046357615894
LowCost,0.5383333333333333,0.6066666666666667,0.7266666666666667,0.5516666666666666,0.7266666666666667,0.5,0.6466666666666666,0.6783333333333333,0.585,0.6533333333333333,0.6066666666666667,0.65,0.63,0.6616666666666666,0.6483333333333333,0.575,0.5733333333333334
MindReading,0.4104134762633997,0.46248085758039814,0.5895865237366003,0.5482388973966309,0.5666156202143952,0.23124042879019907,0.5941807044410413,0.6064318529862175,0.5895865237366003,0.6033690658499234,0.49157733537519144,0.557427258805513,0.4762633996937213,0.45941807044410415,0.5267993874425727,0.4655436447166922,0.7197549770290965
MotionSenseHAR,0.9471698113207547,0.9924528301886792,0.9886792452830189,0.9886792452830189,1.0,0.2037735849056604,0.9849056603773585,1.0,0.9962264150943396,0.9886792452830189,0.9849056603773585,1.0,0.9773584905660377,0.9773584905660377,1.0,0.9660377358490566,0.9811320754716981
NATOPS,0.8833333333333333,0.8833333333333333,0.8722222222222222,0.8722222222222222,0.8611111111111112,0.16666666666666666,0.9277777777777778,0.9222222222222223,0.9055555555555556,0.8666666666666667,0.8833333333333333,0.8611111111111112,0.8722222222222222,0.8722222222222222,0.8444444444444444,0.9611111111111111,0.9666666666666667
PEMS-SF,0.7109826589595376,0.8323699421965318,1.0,0.9826589595375722,1.0,0.11560693641618497,0.9884393063583815,1.0,0.8265895953757225,0.9884393063583815,0.9132947976878613,1.0,0.8439306358381503,0.9884393063583815,1.0,0.7976878612716763,0.7283236994219653
PhotoStimulation,0.25,0.5277777777777778,0.3611111111111111,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4444444444444444,0.3888888888888889,0.3611111111111111,0.3333333333333333,0.4444444444444444,0.5833333333333334,0.3888888888888889,0.4166666666666667,0.25,0.19444444444444445
RacketSports,0.8026315789473685,0.9013157894736842,0.881578947368421,0.8223684210526315,0.8881578947368421,0.28289473684210525,0.868421052631579,0.9013157894736842,0.8881578947368421,0.9013157894736842,0.8881578947368421,0.875,0.9078947368421053,0.8552631578947368,0.8355263157894737,0.881578947368421,0.881578947368421
